Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2020;1;3;Sants-Montjuïc;11;el Poble Sec;Total. Euros/m2 construït;4433.4
2020;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total. Euros/m2 construït;2085.3
2020;1;3;Sants-Montjuïc;13;la Marina de Port;Total. Euros/m2 construït;2807.7
2020;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Total. Euros/m2 construït;3616.8
2020;1;3;Sants-Montjuïc;15;Hostafrancs;Total. Euros/m2 construït;4053.0
2020;1;3;Sants-Montjuïc;16;la Bordeta;Total. Euros/m2 construït;3287.8
2020;1;3;Sants-Montjuïc;17;Sants - Badal;Total. Euros/m2 construït;3644.8
2020;1;3;Sants-Montjuïc;18;Sants;Total. Euros/m2 construït;4441.7
2020;1;4;Les Corts;19;les Corts;Total. Euros/m2 construït;4870.7
2020;1;4;Les Corts;20;la Maternitat i Sant Ramon;Total. Euros/m2 construït;4477.2
2020;1;4;Les Corts;21;Pedralbes;Total. Euros/m2 construït;7045.4
2020;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total. Euros/m2 construït;1972.3
2020;1;5;Sarrià-Sant Gervasi;23;Sarrià;Total. Euros/m2 construït;6096.6
2020;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total. Euros/m2 construït;5797.0
2020;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total. Euros/m2 construït;4797.3
2020;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Total. Euros/m2 construït;5171.1
2020;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Total. Euros/m2 construït;5029.9
2020;1;6;Gràcia;28;Vallcarca i els Penitents;Total. Euros/m2 construït;3853.3
2020;1;6;Gràcia;29;el Coll;Total. Euros/m2 construït;3328.9
2020;1;6;Gràcia;30;la Salut;Total. Euros/m2 construït;4481.5
2020;1;6;Gràcia;31;la Vila de Gràcia;Total. Euros/m2 construït;4807.2
2020;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Total. Euros/m2 construït;4238.3
2020;1;7;Horta-Guinardó;33;el Baix Guinardó;Total. Euros/m2 construït;3722.4
2020;1;7;Horta-Guinardó;34;Can Baró;Total. Euros/m2 construït;3304.5
2020;1;7;Horta-Guinardó;35;el Guinardó;Total. Euros/m2 construït;3576.7
2020;1;7;Horta-Guinardó;36;la Font d'en Fargues;Total. Euros/m2 construït;3283.3
2020;1;7;Horta-Guinardó;37;el Carmel;Total. Euros/m2 construït;2541.6
2020;1;7;Horta-Guinardó;38;la Teixonera;Total. Euros/m2 construït;2665.6
2020;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Total. Euros/m2 construït;2125.8
2020;1;7;Horta-Guinardó;40;Montbau;Total. Euros/m2 construït;2905.1
2020;1;7;Horta-Guinardó;41;la Vall d'Hebron;Total. Euros/m2 construït;3325.4
2020;1;7;Horta-Guinardó;42;la Clota;Total. Euros/m2 construït;
2020;1;7;Horta-Guinardó;43;Horta;Total. Euros/m2 construït;3560.3
2020;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Total. Euros/m2 construït;3094.7
2020;1;8;Nou Barris;45;Porta;Total. Euros/m2 construït;2713.2
2020;1;8;Nou Barris;46;el Turó de la Peira;Total. Euros/m2 construït;2375.0
2020;1;8;Nou Barris;47;Can Peguera;Total. Euros/m2 construït;1932.6
2020;1;8;Nou Barris;48;la Guineueta;Total. Euros/m2 construït;2620.0
2020;1;8;Nou Barris;49;Canyelles;Total. Euros/m2 construït;2222.2
2020;1;8;Nou Barris;50;les Roquetes;Total. Euros/m2 construït;2614.9
2020;1;8;Nou Barris;51;Verdun;Total. Euros/m2 construït;2599.1
2020;1;8;Nou Barris;52;la Prosperitat;Total. Euros/m2 construït;2390.6
2020;1;8;Nou Barris;53;la Trinitat Nova;Total. Euros/m2 construït;1715.7
2020;1;8;Nou Barris;54;Torre Baró;Total. Euros/m2 construït;
2020;1;8;Nou Barris;55;Ciutat Meridiana;Total. Euros/m2 construït;1808.6
2020;1;8;Nou Barris;56;Vallbona;Total. Euros/m2 construït;
2020;1;9;Sant Andreu;57;la Trinitat Vella;Total. Euros/m2 construït;2318.7
2020;1;9;Sant Andreu;58;Baró de Viver;Total. Euros/m2 construït;3406.3
2020;1;9;Sant Andreu;59;el Bon Pastor;Total. Euros/m2 construït;2122.7
2020;1;9;Sant Andreu;60;Sant Andreu;Total. Euros/m2 construït;3159.2
2020;1;9;Sant Andreu;61;la Sagrera;Total. Euros/m2 construït;3263.3
2020;1;9;Sant Andreu;62;el Congrés i els Indians;Total. Euros/m2 construït;2836.0
2020;1;9;Sant Andreu;63;Navas;Total. Euros/m2 construït;4709.8
2020;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Total. Euros/m2 construït;4422.2
2020;1;10;Sant Martí;65;el Clot;Total. Euros/m2 construït;4552.8
