,year,state,month,number,date,risc
435,2013,Alagoas,Outubro,25.0,2013-01-01,low
436,2014,Alagoas,Outubro,7.0,2014-01-01,low
437,2015,Alagoas,Outubro,40.0,2015-01-01,low
438,2016,Alagoas,Outubro,74.0,2016-01-01,low
439,2017,Alagoas,Outubro,14.0,2017-01-01,low
440,1998,Alagoas,Novembro,19.0,1998-01-01,low
441,1999,Alagoas,Novembro,15.0,1999-01-01,low
442,2000,Alagoas,Novembro,2.0,2000-01-01,low
443,2001,Alagoas,Novembro,22.0,2001-01-01,low
444,2002,Alagoas,Novembro,50.0,2002-01-01,low
445,2003,Alagoas,Novembro,17.0,2003-01-01,low
446,2004,Alagoas,Novembro,28.0,2004-01-01,low
447,2005,Alagoas,Novembro,25.0,2005-01-01,low
448,2006,Alagoas,Novembro,12.0,2006-01-01,low
449,2007,Alagoas,Novembro,15.0,2007-01-01,low
450,2008,Alagoas,Novembro,37.0,2008-01-01,low
451,2009,Alagoas,Novembro,55.0,2009-01-01,low
452,2010,Alagoas,Novembro,31.0,2010-01-01,low
453,2011,Alagoas,Novembro,23.0,2011-01-01,low
454,2012,Alagoas,Novembro,95.0,2012-01-01,low
455,2013,Alagoas,Novembro,10.0,2013-01-01,low
456,2014,Alagoas,Novembro,14.0,2014-01-01,low
457,2015,Alagoas,Novembro,162.0,2015-01-01,low
458,2016,Alagoas,Novembro,76.0,2016-01-01,low
459,2017,Alagoas,Novembro,10.0,2017-01-01,low
460,1998,Alagoas,Dezembro,32.0,1998-01-01,low
461,1999,Alagoas,Dezembro,12.0,1999-01-01,low
462,2000,Alagoas,Dezembro,2.0,2000-01-01,low
463,2001,Alagoas,Dezembro,30.0,2001-01-01,low
464,2002,Alagoas,Dezembro,95.0,2002-01-01,low
465,2003,Alagoas,Dezembro,43.0,2003-01-01,low
466,2004,Alagoas,Dezembro,71.0,2004-01-01,low
467,2005,Alagoas,Dezembro,16.0,2005-01-01,low
468,2006,Alagoas,Dezembro,30.0,2006-01-01,low
469,2007,Alagoas,Dezembro,33.0,2007-01-01,low
470,2008,Alagoas,Dezembro,34.0,2008-01-01,low
471,2009,Alagoas,Dezembro,55.0,2009-01-01,low
472,2010,Alagoas,Dezembro,45.0,2010-01-01,low
473,2011,Alagoas,Dezembro,50.0,2011-01-01,low
474,2012,Alagoas,Dezembro,59.0,2012-01-01,low
475,2013,Alagoas,Dezembro,42.0,2013-01-01,low
476,2014,Alagoas,Dezembro,24.0,2014-01-01,low
477,2015,Alagoas,Dezembro,136.0,2015-01-01,low
478,2016,Alagoas,Dezembro,155.0,2016-01-01,low
479,1998,Amapa,Janeiro,0.0,1998-01-01,low
480,1999,Amapa,Janeiro,0.0,1999-01-01,low
481,2000,Amapa,Janeiro,2.0,2000-01-01,low
482,2001,Amapa,Janeiro,0.0,2001-01-01,low
483,2002,Amapa,Janeiro,7.0,2002-01-01,low
484,2003,Amapa,Janeiro,31.0,2003-01-01,low
485,2004,Amapa,Janeiro,38.0,2004-01-01,low
486,2005,Amapa,Janeiro,109.0,2005-01-01,low
487,2006,Amapa,Janeiro,6.0,2006-01-01,low
488,2007,Amapa,Janeiro,0.0,2007-01-01,low
489,2008,Amapa,Janeiro,2.0,2008-01-01,low
490,2009,Amapa,Janeiro,4.0,2009-01-01,low
491,2010,Amapa,Janeiro,2.0,2010-01-01,low
492,2011,Amapa,Janeiro,0.0,2011-01-01,low
493,2012,Amapa,Janeiro,30.0,2012-01-01,low
494,2013,Amapa,Janeiro,3.0,2013-01-01,low
495,2014,Amapa,Janeiro,10.0,2014-01-01,low
496,2015,Amapa,Janeiro,14.0,2015-01-01,low
497,2016,Amapa,Janeiro,19.0,2016-01-01,low
498,2017,Amapa,Janeiro,2.0,2017-01-01,low
